"Membro","Comentário","Ação","Adicionado?","Comentários adicionais"
"Prof. Alberto","Inserir no texto a figura do equipamento utilizado na TU Berlin; ela só aparece nos slides.","Inserida a Figura 6.5 na Seção 6.2.6 (Experimental Platform), com a fotografia da plataforma UBADRON em voo dentro do ginásio onde os experimentos foram gravados.","SIM","Aproveitou-se para corrigir a descrição da montagem da câmera, que estava como ""acima do centro do corpo"" e é, de fato, em um casulo suspenso 0,21 m abaixo do corpo, inclinado 10° para baixo."
"Prof. Alberto","Indicar o hardware usado nos experimentos: laptop Dell i7 + RTX 4060; o tracker roda em tempo real, mas as inferências têm atraso de 2 a 3 s; não é possível rodar o pipeline completo em tempo real.","Acrescentada a Seção 7.4.2 (Computational Setup) com a especificação da máquina e a caracterização honesta do que roda e do que não roda em tempo real, além de um parágrafo equivalente na Seção 6.2.6 para o estudo com dados reais. A limitação correspondente no Cap.8 foi reescrita para ficar consistente.","SIM","Hardware confirmado pelo autor: Intel Core i9-13900HX com NVIDIA GeForce RTX 4080 Laptop GPU (12 GB), que é a máquina onde estão todos os artefatos experimentais. A ata da defesa registrou ""i7 + RTX 4060"", resposta dada oralmente na sessão; o texto adota a especificação verificada. Seções 7.4.2, 6.2.6 e o Cap.8 estão consistentes entre si."
"Prof. Alberto","Indicar mais claramente que as nuvens de pontos são geradas por uma câmera de profundidade nos estudos II e III; sugerir o uso de LiDAR em trabalhos futuros.","Criada a Seção 7.2.5 (Sensor Realism and the Limits of the Simulated Point Cloud), com um aviso explícito de que a nuvem provém de uma câmera de profundidade idealizada e não de um LiDAR, enumerando as diferenças (esparsidade, ruído, dropouts, atenuação atmosférica, oclusão e distorção por movimento) e declarando que as acurácias reportadas são um limite superior. Acrescentados o item correspondente nas Limitações e o item ""Realistic range sensing"" nos Trabalhos Futuros.","SIM",""
"Prof. Alberto","Rastrear não basta para o avoid: é necessário predizer a trajetória futura alguns passos à frente.","Reescrito o trecho da Seção 1.2 para afirmar que rastrear a posição atual é necessário mas não suficiente, explicando que a predição pode ser obtida propagando o estado (posição e velocidade) e sua covariância pelo modelo de movimento. Acrescentado item dedicado nas Limitações e o item ""Trajectory prediction, and metrics that reward it"" nos Trabalhos Futuros.","SIM",""
"Prof. Alberto","Cuidado com a afirmação de que a profundidade não pode ser observada por câmeras: há redes modernas que a inferem de imagens monoculares.","Afirmação suavizada no Cap.1: a profundidade passa a ser descrita como não observável ""diretamente"" a partir de uma única vista, com a ressalva explícita de que estimadores monoculares aprendidos recuperam profundidade métrica com acurácia útil, citando ZoeDepth e Depth Anything V2, e a diferença passa a ser colocada em termos de a inferência ser indireta e de erro mais difícil de caracterizar.","SIM",""
"Prof. Alberto","Destacar já na introdução de onde vêm as nuvens de pontos (LiDAR real ou sensor RGB-D).","Criada a subseção 1.4.1 (Where the Point Clouds Come From), distinguindo os três casos: sensor genérico na arquitetura do Cap.4, câmera de profundidade idealizada do AirSim no Cap.7, e ausência de nuvem no Cap.6 (câmera monocular; o LiDAR só é usado offline para levantar o mapa de referência).","SIM",""
"Prof. Alberto","Indicar as ferramentas e os motores de busca utilizados na busca inicial com o método PRISMA.","Seção 3.1.2 reescrita nomeando explicitamente as fontes (APIs do OpenAlex e do Semantic Scholar; busca acadêmica no Google Scholar, arXiv, IEEE Xplore, MDPI, SpringerLink e ScienceDirect), as famílias de consulta e os termos usados, e as ferramentas de gestão (Parsifal, Rayyan e Zotero), com referências bibliográficas para OpenAlex, Semantic Scholar e Rayyan.","SIM","Acrescentado também um parágrafo de honestidade metodológica registrando que as buscas nas bases por assinatura (Scopus, Web of Science e IEEE Xplore institucional) foram preparadas mas não executadas, e por que o impacto disso é limitado."
"Prof. Alberto","Tentar publicar o que ainda não foi publicado.","Fora do escopo da correção do texto.","N/A","O Cap.1 já registra que o estudo do Cap.6 está em preparação para publicação; o Cap.8 aponta o que falta para submeter o Cap.7 (benchmark externo e análise temporal)."
"Prof. Bruno","Trabalho bem escrito, boa organização e boa metodologia (abordagem híbrida: detecção baseada em dados, rastreamento baseado em modelo).","Sem ação.","N/A","Elogio."
"Prof. Bruno","(Pg. 34, Seção 2.3.3) O ""tangent space of SE(3)"" não existe como tal: o espaço tangente é definido em um ponto. Os elementos da álgebra de Lie são matrizes 4x4 parametrizadas por 6 números reais; o que se mostra é uma parametrização. Explicar o espaço isomórfico à álgebra de Lie.","Seção 2.3.3 reescrita com rigor e retitulada ""Pose Perturbations and the Lie Algebra of SE(3)"": explica que SE(3) não é espaço vetorial mas grupo de Lie; que o espaço tangente é definido em um ponto e que o espaço tangente na identidade é a álgebra de Lie se(3); apresenta os elementos de se(3) como matrizes 4x4; define os mapas hat e vee como bijeções lineares e afirma o isomorfismo se(3) ≅ R^6; e explicita que o vetor de 6 componentes é o vetor de coordenadas de um elemento da álgebra, e não o próprio elemento.","SIM","O Apêndice A foi ajustado para usar a mesma linguagem."
"Prof. Bruno","Capítulo 5: destacar que não é feito joint (self) pose estimation and tracking.","Acrescentado parágrafo na abertura do Cap.5 declarando que a pose da plataforma é entrada exógena conhecida, que o estado da plataforma nunca é aumentado no estado do filtro e que as medidas do alvo nunca realimentam a pose própria, com a justificativa (isolar a questão do referencial e espelhar a arquitetura real da aeronave).","SIM",""
"Prof. Bruno","Qual a utilidade prática de ter um EKF no sistema local? Qual é a formulação preferida/recomendada?","Criada a Seção 5.9 (Choice of Frame in Practice), que recomenda o referencial global como padrão (modelo exato, sem reorientação a implementar, estado diretamente interpretável a jusante) e enumera três situações concretas em que o local é preferível: ruído de processo referenciado ao corpo, ausência de posição global confiável (voo sem GNSS) e entrega direta das grandezas relativas que a camada de desvio consome.","SIM",""
"Prof. Bruno","Figuras 5.1 e 5.3: o filtro está divergindo ou é um problema intrínseco? Deixar claro que tem a ver com o erro de distância, cuja variância é proporcional ao quadrado da distância.","Acrescentado parágrafo logo após a Figura 5.1 explicando que não há divergência: o alvo se afasta ao longo do experimento e a variância do alcance cresce com o quadrado da distância, de modo que a informação por atualização diminui. A evidência decisiva é que o limite de Cramér-Rao posterior sobe com o mesmo perfil e o filtro o acompanha, ao passo que um filtro divergente se afastaria do limite.","SIM",""
"Prof. Bruno","Indicar que é utilizado o rho predito para estimar o erro de distância, e comentar que isso viola as hipóteses do filtro de Kalman, pois há dependência entre o erro e o estado.","Acrescentada a Observação 5.2 (State-dependent measurement noise), explicitando que R é avaliado no alcance predito, que isso viola a hipótese de ruído independente do estado, que o estimador é portanto subótimo, por que avaliar no alcance medido seria pior, e que o custo prático é pequeno e quantificado pela análise de Cramér-Rao.","SIM",""
"Prof. Bruno","Equação 6.8: falta indicar a dedução. Expandir a seção mostrando como calcular o Jext, e definir melhor Hk e Jpi indicando as dimensões. Mencionar a aproximação exp(.) ≈ I + ...","Seção 6.2.4 inteiramente reescrita em cinco passos numerados: (1) cadeia geométrica com as dimensões de cada fator; (2) Jacobiano de projeção Jpi (2x3) com a origem de cada termo; (3) Jacobiano de estado Hk (2x4) deduzido termo a termo; (4) Jacobiano extrínseco Jext (2x6), com a perturbação escrita multiplicativamente e a aproximação exp(xi^) = I + xi^ + ... ≈ I + xi^ explicitada, incluindo a ordem do resto; (5) dedução da covariância de inovação como soma de três formas quadráticas, com as dimensões anotadas sob cada termo e a hipótese de independência nomeada.","SIM","Acrescentada ainda a interpretação do comportamento dos blocos rotacional e translacional com a distância, que explica por que o erro de atitude domina a longo alcance."
"Prof. Bruno","Figuras 6.5 e 6.7: os resultados não estão muito bons; deixar mais claro no texto como a dependência do erro em relação à distância e o giro do drone afetam os resultados. Discussão mais extensa e honesta, sem minimizar os problemas.","Discussão reescrita e ampliada. Foi acrescentada uma lista de três mecanismos distintos que contribuem para o erro (alcance, rotação da plataforma em dois canais separados, e precisão do detector sob perda de visada), a Tabela 6.1 com os dois regimes de relato, um parágrafo explicando como ler a Figura 6.7, e um parágrafo final na Discussão que diz sem rodeios o quanto esses números são e não são bons: uma ordem de grandeza acima do rastreador com sensor de alcance do Cap.5, com cauda pesada (p90 de 7,75 m), adequado para busca e salvamento e não, por si só, para anticolisão de curta distância.","SIM",""
"Prof. Bruno","Explicar por que não temos o Sigma da pose da plataforma, já que deveria ser conhecido.","Acrescentado o parágrafo ""On the unavailability of Sigma"" ao final da Seção 6.2.4, explicando que a solução de odometria LiDAR-inercial embarcada publica a pose mas não publica a covariância associada, que recuperá-la exigiria instrumentar e reexecutar a pilha de navegação, e que isso ficou fora do escopo da colaboração e inviável após o retorno ao Brasil. São declaradas as duas consequências: o termo captura a qualidade média da pose e não responde aos trechos de guinada rápida, e a isotropia é conveniência de modelagem e não afirmação física.","SIM",""
"Prof. Bruno","Capítulo 7: indicar por que não utilizou o Jext para inflar o Sk com o Sigma da pose da plataforma, e sugerir como trabalho futuro.","Acrescentados dois parágrafos ao final da Seção 7.3.7: a razão é que no simulador a pose é lida exatamente, de modo que o Sigma honesto é nulo e o termo se anula identicamente, e incluí-lo apenas introduziria um parâmetro ajustado sem referente físico. Em seguida se reconhece que a omissão é uma limitação real do estudo e se indica como o Jacobiano extrínseco seria montado para a medida esférica, remetendo aos Trabalhos Futuros.","SIM",""
"Prof. Bruno","Figura 7.9: indicar métricas ao longo do tempo (comportamento temporal do erro); foram apresentadas apenas médias globais.","REALIZADO. Criada a Seção 7.5.4 (\label{sec:results-temporal}) com a nova Figura 7.10 (Cap7/localization_over_time.pdf, \label{fig:temporal_error}), gerada por cap7_temporal.py a partir dos mesmos pares casados que produzem a Tabela 7.3 (mesmos dumps det_dumps_best, mesmo tracker SORT+EKF 3D, mesmo ponto de operação, mesmo gate 3D de 4 m), reindexados por quadro em vez de por faixa de alcance. Como as sequências têm comprimentos diferentes (50-92 quadros), a agregação é feita em tempo normalizado de sequência. Painel (a): mediana do erro 3D do centroide com banda interquartil e envelope do percentil 90; painel (b): CDF empírica por quadro, global e por ambiente.","SIM","Resultado sobre 5.359 pares casados das 60 sequências: o erro é estacionário. A mediana por faixa fica entre 0,84 e 1,00 m do começo ao fim, e o envelope de p90 entre 1,43 e 1,91 m, sem deriva. Spearman rho = -0,10 (p<0,001): significativo só pelo tamanho da amostra, magnitude desprezível e negativa. Kruskal-Wallis H=130 (p<0,001) sobre 12 faixas, mas o efeito detectado abrange apenas 0,16 m de mediana. Não há transitório de inicialização visível (mediana dos 5 primeiros quadros 0,95 m vs 0,95 m no restante, Mann-Whitney p=0,53) — registrado no texto que isso se deve ao min_hits=3 do SORT, que esconde os dois primeiros quadros de cada track; o que se vê é uma melhora leve com a idade do track (0,99 m com 3 hits -> 0,89 m com 8). Cap.8 atualizado."
"Prof. Bruno","Faltou uma referência global de comparação para as abordagens do Capítulo 7, antes de submeter os resultados para publicação.","Tratado em duas frentes. (a) NÃO executado: a avaliação num benchmark público continua registrada como limitação explícita no Cap.8 e como sexto item de Trabalhos Futuros, nomeando UAV3D (único aéreo 3D de larga escala), KITTI e nuScenes. (b) ACRESCENTADO ao Cap.7: uma quarta ressalva na Discussão que delimita como todo número do capítulo pode ser lido — a comparação é estritamente interna, e os valores de AMOTA/MOTA/IDF1 NÃO são comensuráveis com os valores publicados desses mesmos nomes em KITTI/nuScenes (classe única vs. benchmark multiclasse de tráfego, imagem sintética vs. real, profundidade densa idealizada vs. retorno de sensor real, e dificuldade definida pela nossa própria randomização). Diz explicitamente que AMOTA 0,81 nada afirma sobre posição em leaderboard público.","PARCIAL","Decisão deliberada de NÃO citar números publicados de KITTI/nuScenes como âncora. Verificado que o AMOTA do nuScenes é média sobre múltiplas classes reais e varia de ~0,15 a ~0,77 conforme o detector usado — pôr esses valores lado a lado com 0,81 numa classe única sintética convidaria a leitura errada de que o resultado aéreo é superior, criando uma objeção nova onde hoje há uma lacuna honestamente declarada. Executar de fato no UAV3D é inviável no prazo: nada está local, e o UAV3D é multi-câmera BEV sobre CARLA, sem a nuvem por frustum que este pipeline consome — exigiria centenas de GB, um adaptador para o rig de sensores deles e retreino do estágio 2D. Estimativa: semanas."
"Prof. Bruno","Deixar claro como é feita a associação de dados no trabalho.","A Seção 7.3.7 já descrevia a associação SORT com custo de IoU e atribuição pelo algoritmo húngaro no plano 2D, com os parâmetros na Tabela 7.2; o texto foi reforçado e o Cap.5 remete a ele.","SIM",""
"Prof. Bruno","Trabalhos futuros devem considerar classes de objetos diferentes.","Acrescentado o item ""Multiple object classes"" nos Trabalhos Futuros, apontando a extensão para detector multiclasse, modelos de movimento condicionados à classe (possivelmente por filtro de múltiplos modelos interagentes) e o efeito da identidade de classe como pista adicional de associação.","SIM",""
"Prof. Bruno","Sugerir joint tracking e cooperative tracking; verificar se é aplicável a sense and avoid.","Item de Trabalhos Futuros ampliado para distinguir rastreamento cooperativo (fusão de tracks) de estimação conjunta de pose e rastreamento cooperativos, com a ressalva de que a segunda introduz dependência do enlace de comunicação e correlação de erros que uma argumentação de certificação precisa endereçar.","SIM","Incluída também a observação do Prof. Bruno sobre a filtragem centralizada criar um ponto único de falha."
"Prof. Bruno","Métricas bem definidas.","Sem ação.","N/A","Elogio."
"Prof. Stiven","Dado que o ruído no mundo real é anisotrópico, e apesar de as formulações serem equivalentes, por que não recomendar o EKF global?","A Seção 5.7.2 foi reescrita para deixar claro que o resultado é sobre casamento de referencial e não uma ordenação geral: o experimento reportado define o ruído no referencial inercial, o que favorece o global; ruído diagonal no referencial do corpo favorece o local pelo mesmo argumento. A Seção 5.9 então recomenda explicitamente o referencial global como padrão e enumera quando o local é preferível.","SIM",""
"Prof. Stiven","O recall baixo não seria compensado pelo tracker? As métricas MOTA e AMOTA sugerem isso?","Acrescentado parágrafo na Discussão do Cap.7 que responde diretamente: a distância entre AMOTA alto (0,81) e MOTA baixo (0,44) é justamente a assinatura de um rastreador capaz alimentado por um detector limitado em recall, mas o AMOTA integra ao longo do eixo de recall e o coasting cobre lacunas de poucos quadros, não ausências prolongadas; um track nunca iniciado não pode ser propagado. Conclui-se que AMOTA é a métrica certa para comparar cadeias detector-rastreador e a errada para decidir quanto recall a função de anticolisão exige.","SIM",""
"Prof. Stiven","Sem uma validação integrada (mesmo em simulação), é possível concluir qual é a abordagem mais promissora?","Acrescentado parágrafo final de qualificação de escopo na Discussão do Cap.7: o que se compara é o front-end de detecção, cada variante integrada à mesma associação e filtragem e pontuada de ponta a ponta; o que não se avalia é a função completa de detectar e evitar. Declara-se que estabelecer a abordagem mais promissora nesse sentido exigiria fechar a malha e usar métricas preditivas e orientadas a risco.","SIM",""
"Prof. Stiven","Qual seria a métrica apropriada para comparar as abordagens, dado que a tarefa exige predição da trajetória futura?","Tratado no item ""Trajectory prediction, and metrics that reward it"" dos Trabalhos Futuros, que nomeia as métricas apropriadas: erro de deslocamento médio e final em um horizonte fixo, erro no tempo até o conflito ou até a aproximação máxima, e taxa de alertas de conflito perdidos ou espúrios.","SIM",""
"Prof. Stiven","Quais os desafios para colocar o sistema em ambiente real?","Os Capítulos 7 e 8 foram reforçados: restrições de processamento embarcado e ausência de orçamento de tempo real medido, lacuna sim-para-real do detector, idealização do sensor de profundidade, necessidade de coletar dados reais para ajuste fino, e propagação da incerteza de pose sob a solução de navegação real.","SIM",""
"Prof. Stiven","Ser mais assertivo sobre qual abordagem é a melhor para sense and avoid.","A Discussão do Cap.7 passou de observação a recomendação explícita: recomenda-se o detector voxel de pilares aprendidos como detector primário, ou a fusão tardia frustum-voxel quando a precisão extra compensar, com os números que sustentam a escolha (recall 0,80 contra 0,49, e erro de localização menor, 0,87 m contra 1,05 m), e a ressalva de que o frustum continua preferível quando a estabilidade de identidade importa mais.","SIM",""
"Prof. Maximo","A previsão pode ser feita com base nas estimativas de posição e velocidade fornecidas pelo tracker.","Incorporado ao texto da Seção 1.2: o estimador fornece a previsão na forma que um filtro recursivo naturalmente oferece, propagando o estado (posição e velocidade) e a covariância pelo modelo de movimento, com envelope de incerteza que se alarga com o horizonte.","SIM",""
"Prof. Maximo","Deixar claro que a profundidade é fornecida por câmera RGB-D.","Tratado na nova subseção 1.4.1 e na nova Seção 7.2.5, que declaram que a nuvem de trabalho do Cap.7 vem de uma câmera de profundidade planar idealizada do AirSim, e não do LiDAR simulado, com a justificativa (alvos vistos contra o céu, onde o LiDAR não retorna).","SIM",""
"Prof. Maximo","O Sigma não é estimado pela TU Berlin.","Explicitado no parágrafo ""On the unavailability of Sigma"" da Seção 6.2.4: a solução de navegação publica a pose mas não a covariância.","SIM",""
"Prof. Maximo","Local versus global: deixar mais claro por que o referencial local foi considerado, no contexto de sense and avoidance.","Tratado na nova Seção 5.9, que dedica um parágrafo às três utilidades práticas do referencial local, incluindo o fato de que as grandezas que a camada de desvio consome (alcance relativo, azimute, elevação e velocidade de aproximação) são exatamente as grandezas do referencial local, entregues sem transformação e com a covariância no mesmo referencial.","SIM",""
"Prof. Maximo","A associação de dados é feita pelo SORT no plano 2D.","Já explicitado na Seção 7.3.7 e reforçado; o Cap.5 remete a essa seção ao delimitar o escopo de alvo único.","SIM",""
"Prof. Maximo","Deixar claro que o ruído anisotrópico é definido em coordenada global.","Explicitado na Seção 5.7.2: o texto passa a dizer que a intensidade anisotrópica do experimento é especificada no referencial inercial global, e que é por isso que o filtro global modela o ruído corretamente.","SIM",""
"Prof. Maximo","Fazer uma planilha de acompanhamento das mudanças, para enviar à banca.","Esta planilha.","SIM","Gerada em CSV e XLSX em revisao-banca/."
"Geral","Data da defesa no documento.","Corrigida de 14 de julho de 2026 para 28 de julho de 2026 na folha de rosto e na Folha de Registro do Documento.","SIM",""
"Geral","Erros de ortografia e acentuação.","Compilação verificada sem erros, sem referências indefinidas e com apenas uma linha de largura excedida (na tabela do próprio template do ITA). Lista de Abreviaturas ampliada de 22 para 48 entradas, cobrindo todas as siglas efetivamente usadas.","SIM",""
